Feature,Importance,Std
Prev_Year_Turnover,1.866045901590929,0.05122096487998441
YoY_Growth,0.05239463157392841,0.001675862452299798
Rolling_Avg_Turnover,0.006191174257078736,0.0008292713824658428
"Resteraunts, cafes or pubs within 500m",0.00042186700600526094,0.0002766896235040189
Within 1km HHs in 5th Income Quintile,0.0001794429452156465,3.189523300371645e-05
Km dist to train station,0.0001748906892164559,0.0003785620826641903
Public transport stop within 200m,0.00016005690391778237,9.366798427305894e-05
Km dist to competitor,6.434880437771185e-05,2.5373913422708397e-05
Distance to nearest conad (Km),5.939859789553248e-05,1.4006562647692454e-05
Distance to nearest lidl (Km),5.3266586243461146e-05,4.385961329257388e-05
Distance to nearest kaufland (Km),5.3118252315531575e-05,1.537134724489883e-05
Distance to nearest alnatura (Km),4.5899257000048266e-05,1.889296669606431e-05
Within 5km HHs in 5th Income Quintile,4.1261112488355514e-05,2.147300941970462e-05
Distance to Nearest Pet Shop X (Km) ,3.448743178334768e-05,5.054926833435826e-05
ATM within 5km,3.3933761868354396e-05,3.9143296229651073e-05
Store area (m2)*,2.901454006640769e-05,4.9140986472653605e-05
KmDist simply market (Km),2.737211857155586e-05,1.1358649619986332e-05
Within 5km HHs in 1st Income Quintile,2.6638131408296406e-05,3.317263599465631e-05
Distance to nearest crai (Km),2.6467562705800862e-05,1.0054285154266872e-05
Distance to nearest migros (Km),2.2742187056912223e-05,1.2917307063089408e-05
Shops within 500m,1.975711764832244e-05,1.2788224739199122e-05
Distance to nearest Competitor 8 (Km),1.770812355724738e-05,1.7257507229401795e-05
Monthly rent*,1.5549402538006518e-05,7.974228145003497e-05
Shops within 50m,1.2275043536624786e-05,6.899774206712164e-06
Store_Age,1.1476706291657646e-05,1.4291345283711071e-05
Parking spaces within 1km,1.0535307026449115e-05,2.4807337748194977e-05
Within 1km Population in 0-14,1.0084183711911444e-05,6.408741884024063e-06
ATM within 100m,6.154791668455672e-06,1.646220604206576e-05
Within 1km HHs in 2nd Income Quintile,5.4563539173213545e-06,3.145766574146855e-06
Distance to nearest edeka (Km),5.115755613205319e-06,3.6562282362304114e-06
Shops within 100m,4.707151867588965e-06,6.6597814231515785e-06
Distance to nearest coop (Km),4.1882038573359814e-06,1.598210450003047e-05
Population within 1km,3.922638820874624e-06,6.1480733147054675e-06
Shop within 5km,3.5624001042955378e-06,6.935544395800413e-06
Public transport stop within 100m,3.3398115774407876e-06,3.2614129206649434e-06
Public transport stop within 50m,3.2319505474331934e-06,3.0062375570270816e-06
Bank ATM within 500m,3.184599193162274e-06,9.284968853969314e-06
Within 5km HHs in 2nd Income Quintile,3.010442545625658e-06,2.315857011688668e-06
ATM within 500m,2.726513352691029e-06,6.80718763198502e-06
Within 5km HHs in 4th Income Quintile,9.675782892126783e-07,1.3192435239954702e-06
Km distance to supermarket,7.353177247093612e-07,8.362678401404301e-06
Year,0.0,0.0
Within 5km HHs in 3rd Income Quintile,-2.8944496744953695e-07,3.3254169994609023e-06
